,Company,# Laid Off,% Laid Off,Date Added,Ticker,$ Change 5D,% Change 5D,$ Change 1Y,% Change 1Y
0,Intel,22000.0,20%,4/23/2025,INTC,-0.08,-0.39,16.63,80.77
1,Intel,15000.0,15%,8/1/2024,INTC,-9.16,-31.74,-9.56,-33.11
2,Tesla,14000.0,10%,4/15/2024,TSLA,-14.43,-8.94,92.63,57.36
3,Google,12000.0,6%,1/20/2023,GOOG,-2.53,-2.57,48.36,49.04
4,Meta,11000.0,13%,11/9/2022,META,12.68,12.57,217.74,215.91
5,Microsoft,10000.0,5%,1/17/2023,MSFT,2.18,0.93,149.29,63.48
6,Amazon,10000.0,3%,11/16/2022,AMZN,-4.66,-4.8,45.71,47.07
7,Microsoft,9000.0,4%,7/2/2025,MSFT,6.62,1.35,23.77,4.85
8,Ericsson,8500.0,8%,2/23/2023,ERIC,-0.08,-1.61,0.13,2.64
9,SAP,8000.0,7%,1/24/2024,SAP,1.69,0.99,102.0,59.68
10,Salesforce,8000.0,10%,1/4/2023,CRM,7.44,5.38,110.49,79.98
11,Amazon,8000.0,2%,1/4/2023,AMZN,2.22,2.61,59.43,69.8
12,Dell,6650.0,5%,2/6/2023,DELL,1.67,4.3,41.69,107.1
13,Dell,6000.0,5%,3/27/2024,DELL,7.76,7.13,-12.79,-11.75
14,Microsoft,6000.0,3%,5/13/2025,MSFT,10.54,2.35,66.47,14.85
15,Cisco,5600.0,7%,8/9/2024,CSCO,-0.03,-0.07,27.37,62.21
16,Micron,4800.0,10%,3/31/2023,MU,-3.28,-5.5,57.67,96.92
17,Cisco,4250.0,5%,2/14/2024,CSCO,-1.91,-3.98,14.82,30.98
18,Cisco,4100.0,5%,11/17/2022,CSCO,1.65,3.84,2.41,5.65
19,IBM,3900.0,2%,1/25/2023,IBM,-4.92,-3.88,53.29,42.01
20,Uber,3700.0,14%,5/6/2020,UBER,3.82,13.73,18.83,67.69
21,Meta,3600.0,5%,1/16/2025,META,5.15,0.84,105.82,17.35
